1;Sybex;2023390091;supply@sybex.org
2;McGraw-Hill Osborne Media;6108026338;supply@mcgraw-hillosbornemedia.org
3;John Wiley & Sons;5082396895;supply@johnwiley&sons.org
4;Morgan Kaufmann;5672706449;supply@morgankaufmann.org
5;Schmidt Ink, Inc.;2028300177;supply@schmidtinkinc.org
6;Addison-Wesley Pub Co;4016413852;supply@addison-wesleypubco.org
7;Macromedia Press;2022516967;supply@macromediapress.org
8;Addison-Wesley Publishing;4073529148;supply@addison-wesleypublishing.org
9;Wrox Press Inc;9376301560;supply@wroxpressinc.org
10;Berkley Pub Group;7179283386;supply@berkleypubgroup.org
11;Penguin USA;6463238986;supply@penguinusa.org
12;O'Reilly & Associates;9097122801;supply@o'reilly&associates.org
13;McGraw-Hill Trade;9498147947;supply@mcgraw-hilltrade.org
14;Picador;2242608946;supply@picador.org
15;St. Martin's Press;5053202558;supply@stmartin'spress.org
16;Crown Pub;2342192991;supply@crownpub.org
17;Little Brown & Company;3379196140;supply@littlebrown&company.org
18;Simon & Schuster;8302076635;supply@simon&schuster.org
19;HarperCollins;9168051265;supply@harpercollins.org
20;Jossey-Bass;6315402993;supply@jossey-bass.org
21;Multnomah Publishers Inc.;8069379518;supply@multnomahpublishersinc.org
22;Perennial;5034796198;supply@perennial.org
23;Dell Pub Co;8032128946;supply@dellpubco.org
24;Harlequin;9129047996;supply@harlequin.org
25;Viking Press;3139493880;supply@vikingpress.org
26;Perseus Publishing;9149164955;supply@perseuspublishing.org
27;Random House;2247064420;supply@randomhouse.org
28;Knopf;4348038367;supply@knopf.org
29;Wolfram Medi. Inc.;9405703583;supply@wolframmediinc.org
30;Fireside;9318702615;supply@fireside.org
31;Random House Trade Paperbacks;3049371689;supply@randomhousetradepaperbacks.org
32;Gibbs Smith Publisher;6364696359;supply@gibbssmithpublisher.org
33;Taunton Pr;5122676145;supply@tauntonpr.org
34;Vendome Pr;2159073616;supply@vendomepr.org
35;Clarkson N. Potter;9192179669;supply@clarksonnpotter.org
36;MIT Press;6174084582;supply@mitpress.org
37;McGraw-Hill/Irwin;2763340688;supply@mcgraw-hill/irwin.org
38;South-Western College Pub;3153200807;supply@south-westerncollegepub.org
39;Prentice Hall;3015138424;supply@prenticehall.org
40;Warner Books;8309082653;supply@warnerbooks.org
41;Scribner;3209727527;supply@scribner.org
42;Pocket Books;7047634900;supply@pocketbooks.org
43;Pantheon Books;5867346905;supply@pantheonbooks.org
44;Del Rey;6033070027;supply@delrey.org
45;Doubleday;4094013109;supply@doubleday.org
46;Donald M. Grant Publisher, Inc.;7199185695;supply@donaldmgrantpublisherinc.org
47;Vintage Books;8307191663;supply@vintagebooks.org
48;Scribner Paperback Fiction;9524437882;supply@scribnerpaperbackfiction.org
49;Harvest Books;6366032446;supply@harvestbooks.org
50;Harperperennial Library;8054190475;supply@harperperenniallibrary.org
51;W.W. Norton & Company;9085157203;supply@wwnorton&company.org
52;Harvard Univ Pr;2318453259;supply@harvardunivpr.org
53;Prentice Hall PTR;6467066753;supply@prenticehallptr.org
54;New Riders Publishing;6515300760;supply@newriderspublishing.org
55;Ballantine Books;5053083416;supply@ballantinebooks.org
56;Back Bay Books;8316624867;supply@backbaybooks.org
57;Anchor Books;5034781611;supply@anchorbooks.org
58;Putnam Pub Group;3478509840;supply@putnampubgroup.org
59;Silhouette;8312016222;supply@silhouette.org
60;Lark Books;3095409319;supply@larkbooks.org
61;Harper;7073179119;supply@harper.org
