author_id;name;first_name;last_name;middle_inits;birth_date;death_date
1;Chip Dawes;Chip;Dawes;;1978-04-02;
2;Biju Thomas;Biju;Thomas;;1942-04-11;2019-01-21
3;Doug Stuns;Doug;Stuns;;1941-03-28;
4;Matthew Weishan;Matthew;Weishan;;1953-08-24;2021-01-05
5;Joseph C. Johnson;Joseph;Johnson;C.;1936-03-02;
6;Brian Knight;Brian;Knight;;1954-12-13;2021-01-25
7;Ralph Kimball;Ralph;Kimball;;1957-03-30;
8;Margy Ross;Margy;Ross;;1952-11-26;
9;Bill Mann;Bill;Mann;;1932-10-05;
10;Ian H. Witten;Ian;Witten;H.;1972-11-27;
11;Eibe Frank;Eibe;Frank;;1971-07-28;
12;Robert D. Schmidt;Robert;Schmidt;D.;1945-09-13;
13;Ken Henderson;Ken;Henderson;;1948-04-01;
14;Paul Litwin;Paul;Litwin;;1949-11-27;2019-10-19
15;Ken Getz;Ken;Getz;;1964-10-31;
16;Mike Gunderloy;Mike;Gunderloy;;1945-03-25;
17;Ben Forta;Ben;Forta;;1942-07-26;
18;Nate Weiss;Nate;Weiss;;1960-07-23;2010-02-10
19;Leon Chalnick;Leon;Chalnick;;1940-04-21;2013-03-16
20;Angela C. Buraglia;Angela;Buraglia;C.;1963-11-18;
21;Ramez A. Elmasri;Ramez;Elmasri;A.;1970-12-15;
22;Shamkant B. Navathe;Shamkant;Navathe;B.;1964-08-24;
23;Rob Vieira;Rob;Vieira;;1980-07-24;
24;Paul DuBois;Paul;DuBois;;1961-12-30;
25;Laurell K. Hamilton;Laurell;Hamilton;K.;1938-12-25;2012-01-15
26;Sue Monk Kidd;Sue;Kidd;Monk;1953-09-19;2018-08-11
27;Tara Calishain;Tara;Calishain;;1939-11-22;
28;Rael Dornfest;Rael;Dornfest;;1956-04-05;2016-12-27
29;Jay P. Decima;Jay;Decima;P.;1943-05-25;
30;Wladyslaw Szpilman;Wladyslaw;Szpilman;;1962-07-19;
31;Roma Ligocka;Roma;Ligocka;;1934-10-31;2012-09-26
32;Michael Cunningham;Michael;Cunningham;;1960-06-18;
33;Larry Bossidy;Larry;Bossidy;;1935-06-30;2019-01-20
34;Ram Charan;Ram;Charan;;1953-05-21;2014-07-24
35;Charles Burck;Charles;Burck;;1943-08-02;2016-08-02
36;James Patterson;James;Patterson;;1966-10-24;
37;Andrew Gross;Andrew;Gross;;1971-08-01;2020-02-15
38;Jeffery Deaver;Jeffery;Deaver;;1948-12-21;
39;Jacquelyn Mitchard;Jacquelyn;Mitchard;;1932-12-03;
40;Patrick Lencioni;Patrick;Lencioni;;1949-02-12;
41;Mary Higgins Clark;Mary;Clark;Higgins;1975-04-12;
42;Dee Henderson;Dee;Henderson;;1960-11-15;
43;Ann Patchett;Ann;Patchett;;1948-12-14;2022-06-06
44;Karen Marie Moning;Karen;Moning;Marie;1972-11-24;
45;Suzanne Brockmann;Suzanne;Brockmann;;1943-02-14;
46;Steven Pinker;Steven;Pinker;;1963-01-27;
47;Albert-L�szl� Barab�si;Albert-L�szl�;Barab�si;;1973-05-30;
48;Edward Osborne Wilson;Edward;Wilson;Osborne;1975-11-14;
49;Stephen Wolfram;Stephen;Wolfram;;1947-01-19;
50;Harold McGee;Harold;McGee;;1971-04-24;
51;Francis D. K. Ching;Francis;Ching;D. K.;1974-08-07;
52;Cassandra Adams;Cassandra;Adams;;1967-04-14;
53;Virginia McAlester;Virginia;McAlester;;1944-04-11;2022-04-29
54;Lee McAlester;Lee;McAlester;;1936-12-26;2013-07-13
55;Bryan Burkhart;Bryan;Burkhart;;1958-06-04;2022-10-13
56;Allison Arieff;Allison;Arieff;;1956-04-14;
57;Ralph R. Kylloe;Ralph;Kylloe;R.;1956-09-28;
