publisher_id;pub_name;phone_no;email
1;Sybex;3043088369;supply@sybex.org
2;McGraw-Hill Osborne Media;7198658107;supply@mcgraw-hillosbornemedia.org
3;John Wiley & Sons;5075635301;supply@johnwiley&sons.org
4;Morgan Kaufmann;5418106020;supply@morgankaufmann.org
5;Schmidt Ink, Inc.;7606514861;supply@schmidtinkinc.org
6;Addison-Wesley Pub Co;3516675152;supply@addison-wesleypubco.org
7;Macromedia Press;7245858918;supply@macromediapress.org
8;Addison-Wesley Publishing;5019731190;supply@addison-wesleypublishing.org
9;Wrox Press Inc;4018021550;supply@wroxpressinc.org
10;Berkley Pub Group;2256234194;supply@berkleypubgroup.org
11;Penguin USA;2705035304;supply@penguinusa.org
12;O'Reilly & Associates;2812281729;supply@o'reilly&associates.org
13;McGraw-Hill Trade;9414149531;supply@mcgraw-hilltrade.org
14;Picador;7073361963;supply@picador.org
15;St. Martin's Press;6369160968;supply@stmartin'spress.org
16;Crown Pub;5165641497;supply@crownpub.org
17;Little Brown & Company;2563517473;supply@littlebrown&company.org
18;Simon & Schuster;3345034316;supply@simon&schuster.org
19;HarperCollins;9076181635;supply@harpercollins.org
20;Jossey-Bass;9792194305;supply@jossey-bass.org
21;Multnomah Publishers Inc.;2568024832;supply@multnomahpublishersinc.org
22;Perennial;2544649823;supply@perennial.org
23;Dell Pub Co;4693087397;supply@dellpubco.org
24;Harlequin;9524800987;supply@harlequin.org
25;Viking Press;4795416736;supply@vikingpress.org
26;Perseus Publishing;5747243122;supply@perseuspublishing.org
27;Random House;4027704737;supply@randomhouse.org
28;Knopf;8599085353;supply@knopf.org
29;Wolfram Medi. Inc.;8133098210;supply@wolframmediinc.org
30;Fireside;3139527729;supply@fireside.org
31;Random House Trade Paperbacks;8042601692;supply@randomhousetradepaperbacks.org
32;Gibbs Smith Publisher;9015109502;supply@gibbssmithpublisher.org
33;Taunton Pr;8482066878;supply@tauntonpr.org
34;Vendome Pr;2123092561;supply@vendomepr.org
35;Clarkson N. Potter;2489400705;supply@clarksonnpotter.org
36;MIT Press;9182144157;supply@mitpress.org
37;McGraw-Hill/Irwin;5153105791;supply@mcgraw-hill/irwin.org
38;South-Western College Pub;3207860058;supply@south-westerncollegepub.org
39;Prentice Hall;3376828002;supply@prenticehall.org
40;Warner Books;4134042022;supply@warnerbooks.org
41;Scribner;6612080175;supply@scribner.org
42;Pocket Books;5598058838;supply@pocketbooks.org
43;Pantheon Books;6182033625;supply@pantheonbooks.org
44;Del Rey;7818316705;supply@delrey.org
45;Doubleday;8658289032;supply@doubleday.org
46;Donald M. Grant Publisher, Inc.;2152510108;supply@donaldmgrantpublisherinc.org
47;Vintage Books;2016024112;supply@vintagebooks.org
48;Scribner Paperback Fiction;3099193029;supply@scribnerpaperbackfiction.org
49;Harvest Books;7653214935;supply@harvestbooks.org
50;Harperperennial Library;6078657760;supply@harperperenniallibrary.org
51;W.W. Norton & Company;2199794925;supply@wwnorton&company.org
52;Harvard Univ Pr;4344155150;supply@harvardunivpr.org
53;Prentice Hall PTR;2134845784;supply@prenticehallptr.org
54;New Riders Publishing;9182199896;supply@newriderspublishing.org
55;Ballantine Books;8308134969;supply@ballantinebooks.org
56;Back Bay Books;5078315369;supply@backbaybooks.org
57;Anchor Books;8646416241;supply@anchorbooks.org
58;Putnam Pub Group;3099036009;supply@putnampubgroup.org
59;Silhouette;3056055574;supply@silhouette.org
60;Lark Books;8659097252;supply@larkbooks.org
61;Harper;2699723393;supply@harper.org
