author_id;name_id;birth_date;death_date
1;1;1953-12-18;
2;2;1937-04-06;
3;3;1937-08-10;2018-10-21
4;4;1973-04-21;2012-04-30
5;5;1944-02-02;
6;6;1931-05-29;2020-08-10
7;7;1937-03-25;
8;8;1977-04-30;
9;9;1968-11-15;
10;10;1962-10-09;
11;11;1968-01-07;
12;12;1965-03-10;2021-04-08
13;13;1965-12-30;2020-08-27
14;14;1947-06-10;2012-12-31
15;15;1944-10-11;2014-04-29
16;16;1950-10-18;
17;17;1931-11-05;
18;18;1980-09-17;
19;19;1941-05-28;2010-01-06
20;20;1932-09-10;2013-12-04
21;21;1939-04-17;2020-07-18
22;22;1951-08-30;2013-10-08
23;23;1953-04-03;
24;24;1960-04-02;
25;25;1943-04-19;2021-12-24
26;26;1957-01-14;
27;27;1940-01-07;2013-11-02
28;28;1967-02-22;
29;29;1966-01-28;2011-03-26
30;30;1977-04-17;2017-12-19
31;31;1937-10-27;2014-05-19
32;32;1972-04-30;
33;33;1972-10-08;2014-11-19
34;34;1955-12-19;2021-03-16
35;35;1980-02-14;
36;36;1941-09-13;2022-06-13
37;37;1973-05-04;
38;38;1968-03-03;
39;39;1952-04-14;2020-08-31
40;40;1933-12-13;
41;41;1972-03-21;
42;42;1980-05-19;
43;43;1950-09-26;
44;44;1939-01-30;2010-07-05
45;45;1966-01-21;
46;46;1963-10-14;
47;47;1976-01-25;2022-06-26
48;48;1967-11-10;
49;49;1939-10-27;2011-11-09
50;50;1977-02-10;
51;51;1966-08-31;
52;52;1951-09-23;2014-04-13
53;53;1935-06-22;2021-06-25
54;54;1934-09-23;2019-03-29
55;55;1973-09-22;
56;56;1977-01-04;2014-04-01
57;57;1940-05-20;2019-02-09
58;58;1950-07-03;2013-11-29
59;59;1950-01-19;2022-12-22
60;60;1954-12-05;
61;61;1969-01-16;
62;62;1965-12-21;
63;63;1937-09-20;
64;64;1949-10-20;
65;65;1951-03-05;2020-10-16
66;66;1932-01-02;
67;67;1955-01-24;
68;68;1963-10-08;
69;69;1977-02-09;
70;70;1938-03-17;
71;71;1946-01-29;2015-03-09
72;72;1954-02-17;2014-06-17
73;73;1979-06-20;2019-11-15
74;74;1970-04-24;
75;75;1951-08-21;2014-03-18
76;76;1951-09-04;2015-06-12
77;77;1936-04-20;2011-11-21
78;78;1948-04-08;2022-03-27
79;79;1957-10-09;2018-04-01
80;80;1980-10-11;
81;81;1978-11-04;
82;82;1968-02-09;2022-09-15
83;83;1967-11-11;2011-10-18
84;84;1966-01-02;
85;85;1936-09-06;2014-04-11
86;86;1938-11-23;2020-12-03
87;87;1959-09-21;2014-12-17
88;88;1934-06-03;
89;89;1941-04-15;
90;90;1960-12-16;2021-12-25
91;91;1965-11-14;
92;92;1954-11-30;
93;93;1945-03-02;
94;94;1978-10-13;
95;95;1960-01-17;2015-08-19
96;96;1978-03-25;2018-07-04
97;97;1947-04-29;2019-05-26
98;98;1977-02-12;2019-06-23
99;99;1976-06-17;
100;100;1952-07-13;2011-06-13
101;101;1962-11-30;
