order_id;sale_date;bill_no;customer_id
1;2010-02-15;19780;21
2;2019-03-16;29042;21
3;2013-11-18;32365;21
4;2014-11-19;49650;22
5;2021-10-06;54323;23
6;2015-07-12;85392;23
7;2012-04-20;94740;23
8;2011-10-24;83942;24
9;2013-02-07;42479;24
10;2019-10-06;13422;24
11;2018-10-02;37513;24
12;2013-06-26;29465;24
13;2022-11-17;86541;24
14;2013-12-19;16553;25
15;2020-01-21;54785;25
16;2011-04-23;58469;25
17;2020-05-21;76024;25
18;2012-10-18;38660;25
19;2017-06-12;58434;25
20;2014-11-16;15675;26
21;2017-09-05;94843;26
22;2015-05-02;29447;26
23;2022-03-15;17641;26
24;2010-03-24;97459;26
25;2019-12-09;88855;26
26;2022-09-19;71831;27
27;2013-02-05;26444;27
28;2014-01-23;32410;27
29;2021-10-21;65621;28
30;2012-10-13;83366;29
31;2017-09-15;31001;29
32;2010-05-08;79351;29
33;2014-01-23;89659;29
34;2015-03-03;60990;29
35;2012-10-16;75808;30
36;2017-02-22;59891;30
37;2016-01-09;33215;30
38;2022-10-11;47397;30
39;2011-02-11;59826;30
40;2019-12-17;71682;31
41;2021-10-04;96988;31
42;2020-11-08;92013;32
43;2015-12-10;35803;32
44;2011-09-20;75526;32
45;2013-05-14;28290;32
46;2017-03-09;86552;32
47;2017-09-12;15898;33
48;2018-11-11;69477;33
49;2011-01-18;62802;33
50;2011-05-11;22460;33
51;2020-10-23;16859;34
52;2015-02-25;10373;34
53;2015-09-15;27960;34
54;2014-07-22;54715;34
55;2015-09-23;99460;35
56;2022-10-19;69202;35
57;2015-09-23;18772;35
58;2012-06-05;28905;36
59;2017-02-17;50174;36
60;2019-09-08;88502;36
61;2015-03-23;76006;36
62;2013-05-21;19286;36
63;2019-01-27;77698;37
64;2010-11-06;80171;37
65;2021-03-16;86901;37
66;2011-01-24;15245;37
67;2010-09-05;52729;38
68;2021-04-08;60620;39
69;2023-03-14;81098;40
70;2019-09-30;88358;40
71;2014-10-07;59674;40
72;2015-11-17;75550;40
73;2011-10-02;28347;40
74;2018-12-02;26829;41
75;2010-06-24;44009;41
76;2022-06-27;30404;42
77;2011-12-23;62037;43
78;2010-06-25;49598;44
79;2020-07-27;38173;44
80;2023-01-06;21046;44
81;2012-02-23;32210;44
82;2017-05-12;42389;44
83;2013-02-25;54400;45
84;2018-08-31;16412;46
85;2012-11-09;41644;46
86;2020-02-21;25325;47
87;2012-10-14;52295;47
88;2017-11-27;61479;47
89;2021-11-05;84032;47
90;2011-12-22;79128;47
91;2011-06-03;32676;48
92;2015-12-26;20377;48
93;2020-03-31;27053;49
94;2017-02-04;21469;50
95;2018-01-14;30789;50
96;2022-08-30;81423;51
97;2022-10-08;66934;51
98;2015-01-17;36731;52
99;2021-11-03;77569;52
100;2015-09-12;68448;53
101;2017-12-05;37562;53
102;2018-05-15;11811;53
103;2020-03-11;89220;53
104;2018-02-19;59568;53
105;2014-05-16;30285;54
106;2010-03-30;18930;54
107;2010-08-20;65013;54
108;2021-05-03;46921;55
109;2015-01-28;55437;55
110;2021-10-30;76018;56
111;2016-04-27;34887;56
112;2010-12-15;33210;56
113;2014-10-08;74052;56
114;2017-06-28;30774;56
115;2014-08-02;71140;57
116;2010-12-25;92669;57
117;2010-02-16;64819;57
118;2019-01-07;55244;57
119;2012-06-12;51566;58
120;2012-03-04;59222;58
121;2020-07-15;54506;59
122;2012-04-29;28177;59
123;2019-06-19;68390;59
124;2017-10-11;31746;60
125;2020-09-05;89048;60
126;2014-09-29;47647;60
127;2013-12-16;34256;60
128;2013-12-08;64667;61
129;2011-03-03;54600;61
130;2017-06-15;61274;61
131;2011-06-14;86410;61
132;2019-10-25;14627;61
133;2020-04-24;11557;62
134;2015-09-19;51682;62
135;2014-08-21;82139;62
136;2016-12-02;28558;62
137;2020-06-16;60121;62
138;2022-03-02;62006;63
139;2015-12-17;16639;63
140;2015-11-11;73116;64
141;2013-12-04;44234;64
142;2023-01-20;27218;64
143;2021-09-26;20743;64
144;2015-10-12;59737;64
145;2021-03-02;39867;65
146;2017-01-22;96303;65
147;2017-07-20;37309;65
148;2012-04-19;88663;65
149;2013-12-09;46103;65
150;2012-10-09;63991;66
151;2016-07-11;38988;66
152;2014-03-21;46954;66
153;2020-08-11;94426;67
154;2020-12-18;17290;67
