publisher_id;pub_name;phone_no;email
1;Sybex;2172704306;supply@sybex.org
2;McGraw-Hill Osborne Media;6158575266;supply@mcgraw-hillosbornemedia.org
3;John Wiley & Sons;2169317240;supply@johnwiley&sons.org
4;Morgan Kaufmann;7702097026;supply@morgankaufmann.org
5;Schmidt Ink, Inc.;9086201757;supply@schmidtinkinc.org
6;Addison-Wesley Pub Co;5619091937;supply@addison-wesleypubco.org
7;Macromedia Press;6038057881;supply@macromediapress.org
8;Addison-Wesley Publishing;5636678406;supply@addison-wesleypublishing.org
9;Wrox Press Inc;2128507093;supply@wroxpressinc.org
10;Berkley Pub Group;7636235319;supply@berkleypubgroup.org
11;Penguin USA;7154057211;supply@penguinusa.org
12;O'Reilly & Associates;5622083385;supply@o'reilly&associates.org
13;McGraw-Hill Trade;9064343237;supply@mcgraw-hilltrade.org
14;Picador;7737143868;supply@picador.org
15;St. Martin's Press;2567084984;supply@stmartin'spress.org
16;Crown Pub;5513863441;supply@crownpub.org
17;Little Brown & Company;4247037600;supply@littlebrown&company.org
18;Simon & Schuster;8189368464;supply@simon&schuster.org
19;HarperCollins;2394806613;supply@harpercollins.org
20;Jossey-Bass;9098573093;supply@jossey-bass.org
21;Multnomah Publishers Inc.;6602706936;supply@multnomahpublishersinc.org
22;Perennial;2529591558;supply@perennial.org
23;Dell Pub Co;9566784311;supply@dellpubco.org
24;Harlequin;3013311640;supply@harlequin.org
25;Viking Press;6178355394;supply@vikingpress.org
26;Perseus Publishing;5033865486;supply@perseuspublishing.org
27;Random House;6023106032;supply@randomhouse.org
28;Knopf;6093340933;supply@knopf.org
29;Wolfram Medi. Inc.;4019152294;supply@wolframmediinc.org
30;Fireside;4408046548;supply@fireside.org
31;Random House Trade Paperbacks;5028145094;supply@randomhousetradepaperbacks.org
32;Gibbs Smith Publisher;2037078924;supply@gibbssmithpublisher.org
33;Taunton Pr;7349133884;supply@tauntonpr.org
34;Vendome Pr;9377207369;supply@vendomepr.org
35;Clarkson N. Potter;3369708014;supply@clarksonnpotter.org
36;MIT Press;3863615050;supply@mitpress.org
37;McGraw-Hill/Irwin;2569310052;supply@mcgraw-hill/irwin.org
38;South-Western College Pub;9154758866;supply@south-westerncollegepub.org
39;Prentice Hall;7165740352;supply@prenticehall.org
40;Warner Books;9712609681;supply@warnerbooks.org
41;Scribner;9374430175;supply@scribner.org
42;Pocket Books;5636105771;supply@pocketbooks.org
43;Pantheon Books;4694027566;supply@pantheonbooks.org
44;Del Rey;4193192695;supply@delrey.org
45;Doubleday;5673192653;supply@doubleday.org
46;Donald M. Grant Publisher, Inc.;2817152056;supply@donaldmgrantpublisherinc.org
47;Vintage Books;4796079417;supply@vintagebooks.org
48;Scribner Paperback Fiction;3123868884;supply@scribnerpaperbackfiction.org
49;Harvest Books;8589542280;supply@harvestbooks.org
50;Harperperennial Library;3517189099;supply@harperperenniallibrary.org
51;W.W. Norton & Company;2173361617;supply@wwnorton&company.org
52;Harvard Univ Pr;4784079139;supply@harvardunivpr.org
53;Prentice Hall PTR;3087014409;supply@prenticehallptr.org
54;New Riders Publishing;8043520414;supply@newriderspublishing.org
55;Ballantine Books;9852255608;supply@ballantinebooks.org
56;Back Bay Books;9402275662;supply@backbaybooks.org
57;Anchor Books;3614081966;supply@anchorbooks.org
58;Putnam Pub Group;8305863261;supply@putnampubgroup.org
59;Silhouette;7323340520;supply@silhouette.org
60;Lark Books;8165517041;supply@larkbooks.org
61;Harper;6417324563;supply@harper.org
