isbn;warehouse_id;quantity
0000782140661;1;46
0000072227885;1;50
0000471200247;1;49
0000072227710;1;29
0001558605525;1;2
0000972263608;1;27
0000201615762;1;31
0000782140114;1;27
0000321125169;1;32
0000805317554;1;35
0001861004486;1;9
0000735712123;1;132
0000425188361;1;116
0000142001740;1;53
0000596004478;1;30
0000071414339;1;44
0000312311354;1;74
0000312287941;1;43
0000312243022;1;71
0000609610570;1;17
0000316602051;1;58
0000743222008;1;48
0000066214750;1;18
0000787960756;1;169
0000743206061;1;36
0001590520734;1;37
0000060934417;1;46
0000440237556;1;110
0000373272839;1;27
0000670031518;1;3
0000738206679;1;80
000067976867X;1;21
0000679450785;1;54
0001579550088;1;50
0000684843285;1;39
0000471358983;1;61
0000394739698;1;11
0001586851322;1;14
0001586851357;1;8
000156158648X;1;41
0000865659982;1;46
0000517576600;1;54
0000262024829;1;6
0000072294337;1;12
0000072315318;1;6
0000324107501;1;40
0000471363049;1;79
0000130323519;1;1
0000446527793;1;105
0000743244249;1;58
0000743467523;1;132
0000375703764;1;55
0000345452089;1;27
0000385504470;1;31
0000312276702;1;99
0000743457358;1;54
0001880418568;1;72
0000743455967;1;116
0000140077022;1;8
0000679722955;1;4
0000684848155;1;10
0000471286168;1;58
0000471288217;1;90
0000156006219;1;78
0000060540753;1;57
0000393318486;1;7
0000060958332;1;91
0000060958405;1;71
0000393319407;1;82
000067463442X;1;34
0000446608955;1;39
0000446676098;1;14
0000446606812;1;30
0000262521415;1;50
0000262232197;1;27
0000324113641;1;70
0000471391123;1;21
0000130998516;1;2
0001565924916;1;141
0000735712360;1;8
0000735712379;1;24
0000735713170;1;2
0001558606432;1;59
0000072222743;1;46
0000345409469;1;52
0000375508325;1;18
0000345336895;1;21
0000671004107;1;35
0000345376595;1;57
0000316666343;1;6
0000316096199;1;60
000038572179X;1;56
0000385494246;1;25
0000385494327;1;65
0000385494149;1;50
0000399149848;1;28
0000373218192;1;23
0000373218257;1;82
0000399149392;1;60
0001561584029;1;102
0001579902944;1;50
0001561586196;1;81
0000061092177;1;16
0000060502935;1;20
0000061020656;1;9
0000060855925;1;10
0000061020648;1;93
0000061161721;1;10
0000782140661;2;43
0000072227885;2;112
0000471200247;2;26
0000072227710;2;8
0001558605525;2;51
0000972263608;2;40
0000201615762;2;48
0000782140114;2;9
0000321125169;2;0
0000805317554;2;41
0001861004486;2;33
0000735712123;2;22
0000425188361;2;27
0000142001740;2;53
0000596004478;2;79
0000071414339;2;14
0000312311354;2;7
0000312287941;2;82
0000312243022;2;55
0000609610570;2;54
0000316602051;2;33
0000743222008;2;75
0000066214750;2;79
0000787960756;2;7
0000743206061;2;29
0001590520734;2;43
0000060934417;2;48
0000440237556;2;42
0000373272839;2;0
0000670031518;2;25
0000738206679;2;52
000067976867X;2;54
0000679450785;2;5
0001579550088;2;14
0000684843285;2;8
0000471358983;2;42
0000394739698;2;45
0001586851322;2;48
0001586851357;2;21
000156158648X;2;9
0000865659982;2;76
0000517576600;2;14
0000262024829;2;26
0000072294337;2;60
0000072315318;2;40
0000324107501;2;29
0000471363049;2;26
0000130323519;2;48
0000446527793;2;6
0000743244249;2;3
0000743467523;2;29
0000375703764;2;30
0000345452089;2;95
0000385504470;2;30
0000312276702;2;29
0000743457358;2;63
0001880418568;2;62
0000743455967;2;72
0000140077022;2;9
0000679722955;2;116
0000684848155;2;48
0000471286168;2;27
0000471288217;2;37
0000156006219;2;85
0000060540753;2;8
0000393318486;2;52
0000060958332;2;55
0000060958405;2;113
0000393319407;2;31
000067463442X;2;45
0000446608955;2;11
0000446676098;2;70
0000446606812;2;16
0000262521415;2;1
0000262232197;2;46
0000324113641;2;24
0000471391123;2;1
0000130998516;2;46
0001565924916;2;12
0000735712360;2;29
0000735712379;2;28
0000735713170;2;17
0001558606432;2;13
0000072222743;2;37
0000345409469;2;12
0000375508325;2;142
0000345336895;2;119
0000671004107;2;27
0000345376595;2;39
0000316666343;2;52
0000316096199;2;46
000038572179X;2;7
0000385494246;2;10
0000385494327;2;68
0000385494149;2;48
0000399149848;2;66
0000373218192;2;19
0000373218257;2;67
0000399149392;2;9
0001561584029;2;55
0001579902944;2;94
0001561586196;2;86
0000061092177;2;136
0000060502935;2;16
0000061020656;2;36
0000060855925;2;13
0000061020648;2;50
0000061161721;2;33
