1;Sybex;2095578644;supply@sybex.org
2;McGraw-Hill Osborne Media;3208655671;supply@mcgraw-hillosbornemedia.org
3;John Wiley & Sons;4079313395;supply@johnwiley&sons.org
4;Morgan Kaufmann;4156608543;supply@morgankaufmann.org
5;Schmidt Ink, Inc.;8564092786;supply@schmidtinkinc.org
6;Addison-Wesley Pub Co;5419287243;supply@addison-wesleypubco.org
7;Macromedia Press;9192012821;supply@macromediapress.org
8;Addison-Wesley Publishing;5863095993;supply@addison-wesleypublishing.org
9;Wrox Press Inc;7172283195;supply@wroxpressinc.org
10;Berkley Pub Group;8168567515;supply@berkleypubgroup.org
11;Penguin USA;6238351192;supply@penguinusa.org
12;O'Reilly & Associates;5135409668;supply@o'reilly&associates.org
13;McGraw-Hill Trade;3617195474;supply@mcgraw-hilltrade.org
14;Picador;7402349208;supply@picador.org
15;St. Martin's Press;3514059602;supply@stmartin'spress.org
16;Crown Pub;2675157405;supply@crownpub.org
17;Little Brown & Company;9198634806;supply@littlebrown&company.org
18;Simon & Schuster;9568187379;supply@simon&schuster.org
19;HarperCollins;3368054956;supply@harpercollins.org
20;Jossey-Bass;5185162040;supply@jossey-bass.org
21;Multnomah Publishers Inc.;4146508005;supply@multnomahpublishersinc.org
22;Perennial;7707248043;supply@perennial.org
23;Dell Pub Co;6267157064;supply@dellpubco.org
24;Harlequin;4244404811;supply@harlequin.org
25;Viking Press;3083364225;supply@vikingpress.org
26;Perseus Publishing;3093602020;supply@perseuspublishing.org
27;Random House;5305573937;supply@randomhouse.org
28;Knopf;3217572019;supply@knopf.org
29;Wolfram Medi. Inc.;2522016562;supply@wolframmediinc.org
30;Fireside;8109479547;supply@fireside.org
31;Random House Trade Paperbacks;3024195543;supply@randomhousetradepaperbacks.org
32;Gibbs Smith Publisher;5744647438;supply@gibbssmithpublisher.org
33;Taunton Pr;2673360378;supply@tauntonpr.org
34;Vendome Pr;8032764089;supply@vendomepr.org
35;Clarkson N. Potter;6822240309;supply@clarksonnpotter.org
36;MIT Press;2513360563;supply@mitpress.org
37;McGraw-Hill/Irwin;3513369967;supply@mcgraw-hill/irwin.org
38;South-Western College Pub;5518172207;supply@south-westerncollegepub.org
39;Prentice Hall;7545034279;supply@prenticehall.org
40;Warner Books;9808177617;supply@warnerbooks.org
41;Scribner;9892081708;supply@scribner.org
42;Pocket Books;6193390635;supply@pocketbooks.org
43;Pantheon Books;7708721941;supply@pantheonbooks.org
44;Del Rey;4159096793;supply@delrey.org
45;Doubleday;9198172286;supply@doubleday.org
46;Donald M. Grant Publisher, Inc.;7153373709;supply@donaldmgrantpublisherinc.org
47;Vintage Books;9199015402;supply@vintagebooks.org
48;Scribner Paperback Fiction;9182076356;supply@scribnerpaperbackfiction.org
49;Harvest Books;6369014851;supply@harvestbooks.org
50;Harperperennial Library;7852085657;supply@harperperenniallibrary.org
51;W.W. Norton & Company;3608287039;supply@wwnorton&company.org
52;Harvard Univ Pr;3362528269;supply@harvardunivpr.org
53;Prentice Hall PTR;5177704538;supply@prenticehallptr.org
54;New Riders Publishing;3012311918;supply@newriderspublishing.org
55;Ballantine Books;4434154709;supply@ballantinebooks.org
56;Back Bay Books;8569190669;supply@backbaybooks.org
57;Anchor Books;3084193925;supply@anchorbooks.org
58;Putnam Pub Group;4848158748;supply@putnampubgroup.org
59;Silhouette;9549280298;supply@silhouette.org
60;Lark Books;5593520470;supply@larkbooks.org
61;Harper;9016079734;supply@harper.org
